用户名,用户邮箱,用户密码,身份证,手机号码,激活,商品名称,商品描述,商品所在地,商品价格,上架时间,商品类型,商品数量
tb969936_33,3216548684@qq.com,sdfadgdfds,315646199803268568,15984966853,TRUE,2017夏新款女装港风露肩荷叶边显瘦长裙宽松背带,穿了半天，穿大了肩膀撑不起面料很舒服有侧袋很实用！,湖南长沙 长沙县,61.6,2019/05/09 12:43:00,服装,1
tb707363323,masd@163.com,asdaefaeff,546868198605213658,15984966854,TRUE,乐町白衬衫,九八新M码，基本全新，就是胸前有点脏，洗下就可以了。便宜出喜欢的拍，不议价不包邮，售出不退不换。,上海上海 静安区,55,2019/05/09 00:07:00,服装,1
weiyunkong,135486885@qq.com,ajhguysdf,354835199206276821,15984966855,TRUE,全新休闲丝绒女式帽衫，深紫色，颜色很正，拉链开衫，前片有2个,上身很时尚大气，全新吊牌，胸围96厘米，衣长56厘米，刚买的穿着小，低价出了。,安徽淮南 田家庵区,32,2019/05/09 07:30:00,服装,1
lainey_zh,1358986885@qq.com,ajhlhjkldfuhj,212548199608127316,15984966856,TRUE,only牛仔裤 萝卜裤、宽松,品牌型号:only 入手渠道:专卖店新旧程度:9层新,上海上海 浦东新区,288,2019/05/08 22:59:00,服装,1
shabulaji,835486756@qq.com,ajhlhjasdasuhj,212548199908123586,15984966857,TRUE,外套女,闲置，有点类似棒球外套啦兜兜破了 便宜出,浙江台州 温岭市,10,2019/05/08 05:41:00,服装,1
zili3,aubdsi@sina.com,jksefdvc,321688198912096831,15984966858,TRUE,时尚星星图案气质百搭针织上衣女2018秋冬季新款,"当时原价：45.00元颜色分类：黑色
尺码：均码
时间店铺：2018年10月24日，从淘宝卖家 庄少芬168 店里买到。
原宝贝地址：http://item.taobao.com/item.htm?id=579514316108",广东惠州 惠东县,35,2019/05/09 05:42:00,服装,1
tb79303770,jasdwfd@sina.com,fjujkdfgg,321688199411013584,15984966859,TRUE,摩已黑色加绒卫衣女春款,品牌型号:摩已，身高155-165可穿新旧程度:九成新,山西太原 迎泽区,37.00 ,2019/05/09 07:32:00,服装,1
hualingran00,marise@163.com,jdsher1366,321688199411013685,15984966860,TRUE,大码女装,大码连衣裙 4XL 转手原因: 我穿大了，穿了两次现在转手160-190都可穿,湖北武汉 武昌区,75,2019/05/09 11:39:00,服装,1
heilianni,567486885@qq.com,w6849846,321688199411013686,15984966861,TRUE,春季新款立领纯色条纹长袖棒球服外套女韩版学生宽松,"购买记录:
当时原价：154.00元
颜色分类：黑色
尺码：均码
时间店铺：2018年03月09日，从淘宝卖家 小菜一喋cc 店里买到。
原宝贝地址：http://item.taobao.com/item.htm?id=565060128512",浙江温州 瓯海区,45,2019/05/08 22:07:00,服装,1
zili3,aubdsi@sina.com,jksefdvc,321688198912096831,15984966858,TRUE,宛宛家的半身裙，一直没有穿，闲置在家，带吊牌Ｍ码，喜欢的收,感兴趣的话给我留言吧！,江苏南通 通州区,89,2019/05/08 11:24:00,服装,1
linlin2232648,sanwitch@163.com,gfhdgf289498,546868198605151688,15984966863,TRUE,韩都衣舍针织开衫,全新，吊牌未摘，s码。,河南信阳 浉河区,45.00 ,2019/05/08 15:09:00,服装,1
panxiaoyan19821012,mengmeng@163.com,adsfggrt12,315646199803251689,15984966864,TRUE,160拉夏贝尔牛仔外套,很美一件新衣、对身材要求不高、胸围100以内、轻薄牛仔,贵州贵阳 花溪区,74,2019/05/09 10:16:00,服装,1
yly190653962,885486885@qq.com,sangjo199803,468965199706295746,15984966865,TRUE,iuiu阿晶水墨流印花半身裙夏装2019款女蓬蓬,"现货 全新已经退了 就想和大家说千万别买这裙子质量太差！
当时原价：206.03元
颜色分类：水墨流仙裙
尺码：M
时间店铺：2019年04月22日，从淘宝卖家 余人三日 店里买到。
原宝贝地址：http://item.taobao.com/item.htm?id=591439809629",安徽马鞍山 花山区,209,2019/05/09 15:24:00,服装,1
weiyunkong,135486885@qq.com,ajhguysdf,3.54835199206277E+17,15984966855,TRUE,韩版鹿头加绒卫衣女,买的时候也不知道怎么想的，反正就买了适合150/163的女生穿了两次吧宿舍真没地方放了爽快出,安徽淮南 田家庵区,20,2019/05/08 09:52:00,服装,1
tb56003199,916548684@qq.com,thjhuu0536,4.21138199609305E+17,15984966867,TRUE,韩国代购直邮~时尚甜美淑女纯色背带连衣裙,全新宝贝！仙女裙，其实我真的很喜欢这个裙子，但是我肉肉太多了，一直挂在衣柜里，说减完肉肉穿，一直减不了，真的想哭了，我也想像模特那么美啦！哭唧唧！,云南昆明 西山区,135,2019/05/08 22:06:00,服装,1
tb969936_33,3216548684@qq.com,sdfadgdfds,3.15646199803269E+17,15984966853,TRUE,瘦瘦璐连体牛仔裤 几乎全新 80不议价,感兴趣的话给我留言吧！,山西太原 迎泽区,80,2019/05/08 21:12:00,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
,,,,,,,,,,,服装,1
